YS(Mpa),UTS(Mpa),%EL,Charpy Energy at -80 C
759.6544,835.1051,33.01102,62.539593
746.41736,1022.2652,23.093119,67.21539
619.2541,1049.442,27.27826,52.20488
644.40515,913.4587,32.499023,57.26428
774.2647,895.5868,25.57521,52.170956
765.29944,870.13965,25.754328,63.029064
749.91833,1057.2706,24.714296,53.24778
723.6782,1033.6257,26.484516,35.61023
762.73596,804.19226,33.23755,63.01473
709.52136,814.2969,36.141243,51.55073
590.3,1057.6829,26.887878,57.444344
724.9105,804.3991,33.204056,64.63585
726.55835,1043.4746,25.02093,63.417156
722.40625,882.4505,31.477135,59.605854
733.48596,1069.0007,24.487894,59.76534
662.96344,1067.5312,27.345854,33.570244
613.476,1067.4729,28.040113,35.647125
742.2852,1048.5829,26.138433,39.344715
711.15314,858.37476,32.065353,48.625122
710.48596,1040.952,26.373693,52.659462
679.77356,838.83765,33.666332,64.20825
796.45483,795.7723,33.719143,48.236916
771.2559,884.1485,25.161814,52.650047
750.105,906.1966,30.910894,52.067917
799.64307,795.01636,30.285498,48.97275
713.5807,1040.0519,25.481579,55.87161
643.5733,1058.4495,26.467215,57.972248
707.8963,1081.4493,24.588112,55.798927
726.3322,1035.8523,26.878777,34.90095
761.9216,728.27997,33.862743,52.902462
671.38513,807.05,29.0253,68.835526
669.959,1005.4526,25.721523,67.475075
625.92847,756.9509,37.80599,55.521564
747.32745,1022.2652,21.851608,67.21539
759.20135,800.2026,33.88329,52.60687
747.89734,1047.3638,25.121933,49.569897
691.8886,859.7488,32.639107,53.605442
671.6345,1005.1257,23.264067,68.58461
703.0015,739.9357,34.626526,66.17193
628.5169,1075.119,26.15828,57.05113
688.70795,865.43604,31.014862,65.75106
761.7382,1049.1688,24.17148,62.60003
727.24646,901.29974,30.217947,57.980453
748.42896,1028.7877,24.743711,61.677624
721.2852,881.8881,31.488523,59.605854
723.1757,1043.3053,24.671165,63.580963
696.36536,1082.8313,24.715376,59.76534
712.91705,1002.2193,21.638327,68.47544
731.73804,878.72546,30.765982,58.254986
723.42834,895.1914,31.455507,62.071934
709.2022,1024.8035,26.43862,63.113846
762.3634,1039.7546,24.151644,63.25162
787.68744,801.636,33.877213,52.317055
800.4496,778.5016,33.71787,42.213043
765.1087,803.89325,29.488111,63.029064
704.8773,1100.3994,20.847206,44.79008
750.16406,881.97284,30.606812,52.104443
767.02966,1041.9963,24.120806,63.020992
663.7939,1000.12354,21.561245,69.06161
719.92896,1042.6206,24.728556,63.7795
738.8979,862.62866,18.881851,68.091644
632.6089,1024.4929,26.20813,63.707867
758.63165,1054.3584,24.964987,52.88056
763.5711,969.27185,24.20825,54.922585
740.74426,1003.9915,23.396637,67.25046
629.4522,1046.6887,26.632568,57.659878
660.9878,1060.536,27.35057,32.835228
747.3374,755.6562,31.279224,66.06485
777.7434,1065.2003,23.23241,45.57232
757.8461,812.50714,33.953613,51.95677
708.1597,1023.419,26.55781,56.218056
775.6855,1032.5448,23.022123,54.276596
729.52136,840.54425,33.83319,41.90692
773.96246,824.7376,30.429918,46.626755
714.24677,738.96893,36.728485,43.498337
776.9126,889.519,24.82777,45.333755
745.8027,1058.4418,25.76654,45.93502
744.52606,1026.1859,22.981768,66.862045
706.0011,846.8791,32.643406,57.83347
725.30975,885.69604,30.928299,62.959255
758.76917,1030.4536,20.186695,64.29246
688.50665,867.87836,31.061897,65.75106
710.49524,915.5385,32.282063,51.79437
572.97327,860.73334,32.627434,62.293472
699.30237,754.7769,36.934948,44.956806
720.0195,1058.2449,25.283161,62.209644
771.6967,1045.7361,22.661743,63.053097
636.5315,991.99115,25.95882,68.82478
