f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.52E-01
7.24E+01,1.72E+03,7.07E+01,2.06E+00,3.48E+02,3.82E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.93E+00,2.29E-01
7.23E+01,1.71E+03,7.06E+01,2.05E+00,3.42E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.83E-01
7.24E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.87E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.52E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.44E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.56E-01
7.24E+01,1.70E+03,7.05E+01,2.04E+00,3.39E+02,3.77E+04,-9.96E+02,-1.48E+01,-1.88E+02,1.84E+00,2.94E-01
7.23E+01,1.70E+03,7.06E+01,2.05E+00,3.42E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.84E-01
7.24E+01,1.70E+03,7.03E+01,2.05E+00,3.38E+02,3.77E+04,-9.98E+02,-1.47E+01,-1.88E+02,1.84E+00,2.80E-01
7.24E+01,1.70E+03,7.05E+01,2.04E+00,3.39E+02,3.77E+04,-9.96E+02,-1.48E+01,-1.88E+02,1.84E+00,2.94E-01
7.23E+01,1.70E+03,7.06E+01,2.04E+00,3.42E+02,3.78E+04,-1.00E+03,-1.48E+01,-1.88E+02,1.84E+00,2.88E-01
7.24E+01,1.70E+03,7.03E+01,2.05E+00,3.38E+02,3.77E+04,-9.98E+02,-1.47E+01,-1.88E+02,1.84E+00,2.80E-01
7.24E+01,1.70E+03,7.05E+01,2.04E+00,3.39E+02,3.77E+04,-9.96E+02,-1.48E+01,-1.88E+02,1.84E+00,2.94E-01
7.24E+01,1.70E+03,7.03E+01,2.05E+00,3.39E+02,3.78E+04,-1.00E+03,-1.48E+01,-1.88E+02,1.84E+00,2.83E-01
7.25E+01,1.71E+03,7.13E+01,2.03E+00,3.46E+02,3.79E+04,-1.03E+03,-1.47E+01,-1.89E+02,1.88E+00,2.81E-01
7.24E+01,1.70E+03,7.04E+01,2.04E+00,3.38E+02,3.77E+04,-9.89E+02,-1.47E+01,-1.88E+02,1.84E+00,2.94E-01
7.24E+01,1.70E+03,7.02E+01,2.05E+00,3.38E+02,3.77E+04,-9.97E+02,-1.48E+01,-1.88E+02,1.84E+00,2.81E-01
7.24E+01,1.70E+03,7.05E+01,2.04E+00,3.39E+02,3.77E+04,-9.96E+02,-1.48E+01,-1.88E+02,1.84E+00,2.94E-01
7.25E+01,1.70E+03,7.11E+01,2.03E+00,3.46E+02,3.79E+04,-1.03E+03,-1.47E+01,-1.89E+02,1.88E+00,2.74E-01
7.23E+01,1.70E+03,7.03E+01,2.04E+00,3.38E+02,3.77E+04,-9.91E+02,-1.47E+01,-1.88E+02,1.83E+00,2.89E-01
7.24E+01,1.70E+03,7.03E+01,2.04E+00,3.38E+02,3.77E+04,-9.91E+02,-1.47E+01,-1.88E+02,1.84E+00,2.93E-01
7.24E+01,1.70E+03,7.02E+01,2.05E+00,3.38E+02,3.77E+04,-9.97E+02,-1.48E+01,-1.88E+02,1.84E+00,2.81E-01
7.25E+01,1.70E+03,7.10E+01,2.03E+00,3.45E+02,3.79E+04,-1.03E+03,-1.47E+01,-1.89E+02,1.87E+00,2.77E-01
7.24E+01,1.69E+03,7.01E+01,2.04E+00,3.38E+02,3.76E+04,-9.91E+02,-1.48E+01,-1.88E+02,1.83E+00,2.82E-01
7.23E+01,1.70E+03,7.03E+01,2.04E+00,3.38E+02,3.77E+04,-9.91E+02,-1.47E+01,-1.88E+02,1.83E+00,2.89E-01
